date,symbol,action,shares,price,value,profit,pnl_pct
2024-05-24 00:00:00-04:00,MSFT,SELL,4,426.1864318847656,1704.7457275390625,12.5230712890625,0.7400368528816345
2024-05-29 00:00:00-04:00,NVDA,BUY,17,114.77930450439453,1951.248176574707,,
2024-05-30 00:00:00-04:00,AAPL,BUY,10,190.1837158203125,1901.837158203125,,
2024-05-30 00:00:00-04:00,NVDA,SELL,17,110.45602416992188,1877.7524108886719,-73.49576568603516,-3.7666026581535275
2024-05-31 00:00:00-04:00,AAPL,SELL,10,191.13818359375,1911.3818359375,9.544677734375,0.5018661925499924
2024-06-03 00:00:00-04:00,AAPL,BUY,10,192.9078826904297,1929.0788269042969,,
2024-06-05 00:00:00-04:00,SPY,BUY,3,526.394287109375,1579.182861328125,,
2024-06-06 00:00:00-04:00,NVDA,BUY,16,120.94985961914062,1935.19775390625,,
2024-06-07 00:00:00-04:00,MSFT,BUY,4,419.93475341796875,1679.739013671875,,
2024-06-07 00:00:00-04:00,NVDA,SELL,16,120.83989715576172,1933.4383544921875,-1.7593994140625,-0.09091574287491311
2024-06-11 00:00:00-04:00,AAPL,SELL,10,205.9519805908203,2059.519805908203,130.44097900390625,6.761827312844046
2024-06-12 00:00:00-04:00,MSFT,SELL,4,436.9857482910156,1747.9429931640625,68.2039794921875,4.060391461831621
2024-06-13 00:00:00-04:00,MSFT,BUY,4,437.5009460449219,1750.0037841796875,,
2024-06-13 00:00:00-04:00,SPY,SELL,3,534.053955078125,1602.161865234375,22.97900390625,1.4551198894676571
2024-06-14 00:00:00-04:00,AAPL,BUY,9,211.2611083984375,1901.3499755859375,,
2024-06-14 00:00:00-04:00,SPY,BUY,3,534.3788452148438,1603.1365356445312,,
2024-06-17 00:00:00-04:00,AAPL,SELL,9,215.4169464111328,1938.7525177001953,37.40254211425781,1.9671571564688664
2024-06-17 00:00:00-04:00,NVDA,BUY,15,130.9386444091797,1964.0796661376953,,
2024-06-17 00:00:00-04:00,TSLA,BUY,10,187.44000244140625,1874.4000244140625,,
2024-06-17 00:00:00-04:00,SPY,SELL,3,538.6318969726562,1615.8956909179688,12.7591552734375,0.7958869996252539
2024-06-18 00:00:00-04:00,NVDA,SELL,15,135.5371856689453,2033.0577850341797,68.97811889648438,3.511981722825318
